Customer ID,Country,Day of Latest purchase,No of Purchases, Sales
14646,Netherlands,30-Mar-22,4,$21.5K
17450,United Kingdom,25-Mar-22,3,$13.5K
15769,United Kingdom,17-Mar-22,3,$13.0K
14156,EIRE,17-Mar-22,6,$9.7K
13694,United Kingdom,23-Mar-22,3,$8.1K
17511,United Kingdom,29-Mar-22,3,$7.2K
14911,EIRE,31-Mar-22,13,$7.1K
18102,United Kingdom,25-Mar-22,2,$6.9K
15311,United Kingdom,15-Mar-22,5,$6.5K
12428,Finland,30-Mar-22,4,$5.4K
16684,United Kingdom,18-Mar-22,2,$4.8K
17404,Sweden,14-Mar-22,2,$4.5K
13089,United Kingdom,31-Mar-22,6,$4.5K
15061,United Kingdom,31-Mar-22,7,$4.3K
12435,Denmark,17-Mar-22,1,$4.0K
15125,United Kingdom,14-Mar-22,1,$3.8K
13340,United Kingdom,08-Mar-22,1,$3.7K
16422,United Kingdom,29-Mar-22,5,$3.6K
16029,United Kingdom,25-Mar-22,6,$3.5K
13798,United Kingdom,30-Mar-22,6,$3.5K
15838,United Kingdom,10-Mar-22,1,$3.3K
12678,France,31-Mar-22,1,$3.2K
12901,United Kingdom,24-Mar-22,3,$3.2K
14298,United Kingdom,29-Mar-22,4,$2.5K
14769,United Kingdom,20-Mar-22,1,$2.4K
12731,France,31-Mar-22,2,$2.4K
13081,United Kingdom,21-Mar-22,1,$2.3K
15032,United Kingdom,28-Mar-22,1,$2.2K
13802,United Kingdom,30-Mar-22,1,$2.2K
17416,United Kingdom,22-Mar-22,1,$2.1K
14680,United Kingdom,29-Mar-22,1,$2.1K
15513,United Kingdom,24-Mar-22,3,$2.1K
16839,United Kingdom,31-Mar-22,4,$2.0K
17381,United Kingdom,07-Mar-22,2,$2.0K
15039,United Kingdom,28-Mar-22,4,$2.0K
17949,United Kingdom,11-Mar-22,2,$2.0K
13001,United Kingdom,30-Mar-22,3,$1.9K
16333,United Kingdom,04-Mar-22,1,$1.9K
12939,United Kingdom,11-Mar-22,1,$1.9K
16525,United Kingdom,24-Mar-22,3,$1.8K
16152,United Kingdom,16-Mar-22,1,$1.8K
16013,United Kingdom,16-Mar-22,4,$1.8K
15502,United Kingdom,14-Mar-22,1,$1.7K
14031,United Kingdom,31-Mar-22,2,$1.7K
16253,United Kingdom,29-Mar-22,1,$1.7K
17107,United Kingdom,06-Mar-22,1,$1.7K
13344,United Kingdom,07-Mar-22,1,$1.7K
13316,United Kingdom,31-Mar-22,1,$1.6K
12683,France,23-Mar-22,3,$1.6K
16652,United Kingdom,11-Mar-22,1,$1.6K
14936,Channel Islands,09-Mar-22,1,$1.6K
12758,Portugal,08-Mar-22,1,$1.6K
12818,Austria,23-Mar-22,1,$1.5K
13408,United Kingdom,27-Mar-22,4,$1.5K
14367,United Kingdom,29-Mar-22,2,$1.5K
14016,EIRE,15-Mar-22,1,$1.5K
17841,United Kingdom,31-Mar-22,9,$1.5K
13722,United Kingdom,02-Mar-22,1,$1.5K
12668,Germany,25-Mar-22,1,$1.4K
12681,France,22-Mar-22,3,$1.4K
17677,United Kingdom,30-Mar-22,2,$1.4K
15416,United Kingdom,02-Mar-22,1,$1.4K
15834,United Kingdom,07-Mar-22,2,$1.3K
14606,United Kingdom,29-Mar-22,8,$1.3K
16692,United Kingdom,28-Mar-22,1,$1.3K
13777,United Kingdom,31-Mar-22,3,$1.3K
15245,United Kingdom,23-Mar-22,1,$1.3K
12520,Germany,25-Mar-22,2,$1.2K
13078,United Kingdom,30-Mar-22,2,$1.2K
14101,United Kingdom,20-Mar-22,1,$1.2K
13263,United Kingdom,29-Mar-22,4,$1.2K
17426,United Kingdom,02-Mar-22,1,$1.2K
15465,United Kingdom,27-Mar-22,3,$1.2K
16698,United Kingdom,31-Mar-22,1,$1.2K
12709,Germany,30-Mar-22,2,$1.2K
12748,United Kingdom,25-Mar-22,12,$1.2K
13113,United Kingdom,30-Mar-22,3,$1.2K
16672,United Kingdom,18-Mar-22,1,$1.2K
16923,United Kingdom,27-Mar-22,2,$1.2K
16398,United Kingdom,31-Mar-22,1,$1.2K
17675,United Kingdom,29-Mar-22,2,$1.2K
12971,United Kingdom,30-Mar-22,10,$1.2K
15498,United Kingdom,07-Mar-22,2,$1.2K
16766,United Kingdom,11-Mar-22,2,$1.1K
12540,Spain,24-Mar-22,1,$1.1K
12669,France,28-Mar-22,1,$1.1K
15764,United Kingdom,08-Mar-22,1,$1.1K
16709,United Kingdom,03-Mar-22,1,$1.1K
13268,United Kingdom,30-Mar-22,2,$1.1K
14930,Channel Islands,10-Mar-22,1,$1.1K
15189,United Kingdom,30-Mar-22,4,$1.1K
12539,Spain,22-Mar-22,1,$1.1K
17306,United Kingdom,30-Mar-22,4,$1.1K
17856,United Kingdom,20-Mar-22,2,$1.1K
12921,United Kingdom,30-Mar-22,2,$1.1K
12474,Germany,28-Mar-22,2,$1.1K
14194,United Kingdom,27-Mar-22,2,$1.1K
16745,United Kingdom,24-Mar-22,2,$1.1K
15358,United Kingdom,17-Mar-22,2,$1.0K
18118,United Kingdom,28-Mar-22,4,$1.0K
12514,Italy,17-Mar-22,1,$1.0K
17088,United Kingdom,31-Mar-22,1,$1.0K
14245,United Kingdom,29-Mar-22,1,$1.0K
15249,United Kingdom,28-Mar-22,1,$1.0K
15641,United Kingdom,24-Mar-22,2,$1.0K
13373,United Kingdom,08-Mar-22,1,$1.0K
15288,United Kingdom,20-Mar-22,1,$1.0K
14291,United Kingdom,09-Mar-22,1,$1.0K
14226,United Kingdom,17-Mar-22,1,$1.0K
14258,United Kingdom,20-Mar-22,1,$1.0K
13883,United Kingdom,31-Mar-22,1,$1.0K
12621,Germany,25-Mar-22,1,$1.0K
14056,United Kingdom,31-Mar-22,4,$1.0K
17428,United Kingdom,31-Mar-22,2,$1.0K
12456,Switzerland,30-Mar-22,1,$0.9K
12370,Cyprus,10-Mar-22,1,$0.9K
16871,United Kingdom,29-Mar-22,3,$0.9K
13854,United Kingdom,21-Mar-22,3,$0.9K
17049,United Kingdom,09-Mar-22,1,$0.9K
13934,United Kingdom,21-Mar-22,1,$0.9K
15998,United Kingdom,22-Mar-22,1,$0.9K
16216,United Kingdom,17-Mar-22,1,$0.9K
14051,United Kingdom,31-Mar-22,1,$0.9K
14110,United Kingdom,18-Mar-22,1,$0.9K
12909,United Kingdom,31-Mar-22,2,$0.9K
15676,United Kingdom,01-Mar-22,1,$0.9K
12471,Germany,28-Mar-22,2,$0.9K
13097,United Kingdom,25-Mar-22,1,$0.9K
17770,United Kingdom,09-Mar-22,2,$0.9K
17504,United Kingdom,16-Mar-22,1,$0.9K
14180,United Kingdom,30-Mar-22,3,$0.9K
18173,United Kingdom,10-Mar-22,1,$0.9K
16558,United Kingdom,30-Mar-22,3,$0.9K
14235,United Kingdom,24-Mar-22,1,$0.9K
15067,United Kingdom,02-Mar-22,1,$0.8K
16553,United Kingdom,10-Mar-22,2,$0.8K
17050,United Kingdom,06-Mar-22,1,$0.8K
16316,United Kingdom,09-Mar-22,3,$0.8K
12980,United Kingdom,02-Mar-22,1,$0.8K
12408,Belgium,24-Mar-22,2,$0.8K
15832,United Kingdom,30-Mar-22,1,$0.8K
14267,United Kingdom,31-Mar-22,2,$0.8K
13014,United Kingdom,25-Mar-22,2,$0.8K
12481,Germany,28-Mar-22,2,$0.8K
17581,United Kingdom,04-Mar-22,3,$0.8K
16985,United Kingdom,16-Mar-22,2,$0.8K
14934,Channel Islands,02-Mar-22,1,$0.8K
12613,Germany,22-Mar-22,2,$0.8K
14701,United Kingdom,18-Mar-22,2,$0.8K
12557,Spain,28-Mar-22,1,$0.8K
13871,United Kingdom,24-Mar-22,2,$0.8K
16626,United Kingdom,21-Mar-22,1,$0.8K
14426,United Kingdom,08-Mar-22,1,$0.8K
12679,France,08-Mar-22,1,$0.8K
14841,United Kingdom,10-Mar-22,1,$0.8K
17204,United Kingdom,25-Mar-22,1,$0.8K
17738,United Kingdom,02-Mar-22,1,$0.8K
14461,United Kingdom,23-Mar-22,1,$0.8K
13341,United Kingdom,24-Mar-22,1,$0.8K
12480,Germany,17-Mar-22,1,$0.8K
15367,United Kingdom,09-Mar-22,1,$0.8K
15980,United Kingdom,30-Mar-22,1,$0.8K
18008,United Kingdom,24-Mar-22,2,$0.8K
15023,United Kingdom,08-Mar-22,1,$0.8K
16256,United Kingdom,27-Mar-22,1,$0.8K
16801,United Kingdom,31-Mar-22,1,$0.8K
15529,United Kingdom,25-Mar-22,2,$0.7K
17017,United Kingdom,20-Mar-22,2,$0.7K
14572,United Kingdom,30-Mar-22,2,$0.7K
13225,United Kingdom,31-Mar-22,1,$0.7K
16779,United Kingdom,18-Mar-22,2,$0.7K
17315,United Kingdom,31-Mar-22,5,$0.7K
13476,United Kingdom,10-Mar-22,1,$0.7K
15861,United Kingdom,17-Mar-22,2,$0.7K
16712,United Kingdom,29-Mar-22,2,$0.7K
15738,United Kingdom,29-Mar-22,2,$0.7K
13488,United Kingdom,30-Mar-22,1,$0.7K
12583,France,11-Mar-22,1,$0.7K
17139,United Kingdom,25-Mar-22,1,$0.7K
13082,United Kingdom,30-Mar-22,2,$0.7K
12502,Spain,16-Mar-22,1,$0.7K
15632,United Kingdom,31-Mar-22,2,$0.7K
14232,United Kingdom,27-Mar-22,1,$0.7K
16771,United Kingdom,09-Mar-22,1,$0.7K
13468,United Kingdom,31-Mar-22,5,$0.7K
13869,United Kingdom,22-Mar-22,1,$0.7K
12849,United Kingdom,16-Mar-22,1,$0.7K
17133,United Kingdom,18-Mar-22,1,$0.7K
13199,United Kingdom,17-Mar-22,2,$0.7K
13975,United Kingdom,11-Mar-22,1,$0.7K
15939,United Kingdom,27-Mar-22,2,$0.7K
16377,United Kingdom,17-Mar-22,1,$0.7K
13102,United Kingdom,20-Mar-22,3,$0.7K
16945,United Kingdom,29-Mar-22,3,$0.7K
12553,France,25-Mar-22,2,$0.7K
13881,United Kingdom,07-Mar-22,1,$0.7K
17716,United Kingdom,17-Mar-22,1,$0.7K
13481,United Kingdom,28-Mar-22,1,$0.7K
14146,United Kingdom,30-Mar-22,1,$0.7K
14603,United Kingdom,10-Mar-22,1,$0.7K
17757,United Kingdom,30-Mar-22,3,$0.7K
17272,United Kingdom,22-Mar-22,1,$0.7K
15671,United Kingdom,17-Mar-22,2,$0.7K
14758,United Kingdom,25-Mar-22,1,$0.7K
15159,United Kingdom,17-Mar-22,2,$0.7K
17735,United Kingdom,31-Mar-22,1,$0.7K
17419,United Kingdom,18-Mar-22,2,$0.7K
12916,United Kingdom,27-Mar-22,1,$0.6K
17400,United Kingdom,31-Mar-22,2,$0.6K
14543,United Kingdom,31-Mar-22,3,$0.6K
15819,United Kingdom,08-Mar-22,1,$0.6K
14214,United Kingdom,11-Mar-22,1,$0.6K
16033,United Kingdom,06-Mar-22,1,$0.6K
17937,United Kingdom,27-Mar-22,1,$0.6K
18189,United Kingdom,21-Mar-22,1,$0.6K
13267,United Kingdom,23-Mar-22,4,$0.6K
14796,United Kingdom,25-Mar-22,2,$0.6K
13988,United Kingdom,30-Mar-22,1,$0.6K
14800,United Kingdom,13-Mar-22,1,$0.6K
14766,United Kingdom,28-Mar-22,1,$0.6K
16022,United Kingdom,24-Mar-22,1,$0.6K
12545,Spain,25-Mar-22,1,$0.6K
17164,United Kingdom,11-Mar-22,1,$0.6K
15301,United Kingdom,17-Mar-22,1,$0.6K
14733,United Kingdom,14-Mar-22,1,$0.6K
14112,United Kingdom,17-Mar-22,1,$0.6K
16670,United Kingdom,10-Mar-22,1,$0.6K
16523,United Kingdom,28-Mar-22,2,$0.6K
18225,United Kingdom,29-Mar-22,2,$0.6K
16584,United Kingdom,30-Mar-22,1,$0.6K
13451,United Kingdom,15-Mar-22,1,$0.6K
13357,United Kingdom,27-Mar-22,1,$0.6K
17700,United Kingdom,03-Mar-22,1,$0.6K
18198,United Kingdom,30-Mar-22,2,$0.6K
15981,United Kingdom,30-Mar-22,1,$0.6K
15299,United Kingdom,21-Mar-22,1,$0.6K
16191,United Kingdom,22-Mar-22,1,$0.6K
16954,United Kingdom,30-Mar-22,2,$0.6K
12472,Germany,30-Mar-22,1,$0.6K
15606,United Kingdom,23-Mar-22,2,$0.6K
13452,United Kingdom,25-Mar-22,2,$0.6K
13475,United Kingdom,23-Mar-22,1,$0.6K
15071,United Kingdom,09-Mar-22,1,$0.6K
13368,United Kingdom,28-Mar-22,1,$0.6K
15694,United Kingdom,16-Mar-22,1,$0.6K
17262,United Kingdom,23-Mar-22,1,$0.6K
16327,United Kingdom,14-Mar-22,1,$0.6K
14505,United Kingdom,16-Mar-22,1,$0.6K
14817,United Kingdom,07-Mar-22,1,$0.6K
13599,United Kingdom,10-Mar-22,1,$0.6K
17719,United Kingdom,29-Mar-22,1,$0.6K
14329,United Kingdom,17-Mar-22,1,$0.6K
15622,United Kingdom,09-Mar-22,1,$0.6K
18041,United Kingdom,31-Mar-22,3,$0.6K
12727,France,15-Mar-22,2,$0.6K
16150,United Kingdom,17-Mar-22,1,$0.6K
15291,United Kingdom,21-Mar-22,2,$0.6K
14064,United Kingdom,31-Mar-22,2,$0.6K
12866,Belgium,01-Mar-22,1,$0.6K
17491,United Kingdom,24-Mar-22,1,$0.6K
14676,United Kingdom,01-Mar-22,1,$0.6K
13090,United Kingdom,18-Mar-22,1,$0.6K
14107,United Kingdom,25-Mar-22,1,$0.6K
17625,United Kingdom,27-Mar-22,1,$0.5K
18260,United Kingdom,15-Mar-22,1,$0.5K
15696,United Kingdom,29-Mar-22,2,$0.5K
17365,United Kingdom,31-Mar-22,1,$0.5K
16214,United Kingdom,15-Mar-22,1,$0.5K
15493,United Kingdom,14-Mar-22,1,$0.5K
15615,United Kingdom,27-Mar-22,1,$0.5K
17567,United Kingdom,10-Mar-22,1,$0.5K
14336,United Kingdom,08-Mar-22,1,$0.5K
14903,United Kingdom,10-Mar-22,1,$0.5K
14315,United Kingdom,18-Mar-22,1,$0.5K
13126,United Kingdom,31-Mar-22,2,$0.5K
12948,United Kingdom,24-Mar-22,2,$0.5K
15218,United Kingdom,21-Mar-22,1,$0.5K
15290,United Kingdom,29-Mar-22,2,$0.5K
14735,United Kingdom,22-Mar-22,3,$0.5K
14740,United Kingdom,01-Mar-22,1,$0.5K
12712,Germany,16-Mar-22,2,$0.5K
15812,United Kingdom,30-Mar-22,1,$0.5K
18075,United Kingdom,30-Mar-22,2,$0.5K
16135,United Kingdom,22-Mar-22,1,$0.5K
13043,United Kingdom,31-Mar-22,1,$0.5K
15856,United Kingdom,31-Mar-22,1,$0.5K
12597,Spain,16-Mar-22,1,$0.5K
13534,United Kingdom,30-Mar-22,2,$0.5K
13183,United Kingdom,24-Mar-22,1,$0.5K
14085,United Kingdom,25-Mar-22,3,$0.5K
13196,United Kingdom,22-Mar-22,1,$0.5K
17858,United Kingdom,23-Mar-22,2,$0.5K
15719,United Kingdom,22-Mar-22,2,$0.5K
17769,United Kingdom,06-Mar-22,1,$0.5K
17811,United Kingdom,21-Mar-22,4,$0.5K
18223,United Kingdom,31-Mar-22,2,$0.5K
17048,United Kingdom,07-Mar-22,1,$0.5K
15150,United Kingdom,15-Mar-22,1,$0.5K
12867,United Kingdom,21-Mar-22,1,$0.5K
13953,United Kingdom,10-Mar-22,1,$0.5K
12720,Germany,22-Mar-22,1,$0.5K
16212,United Kingdom,03-Mar-22,1,$0.5K
13908,United Kingdom,08-Mar-22,1,$0.5K
14560,United Kingdom,24-Mar-22,4,$0.5K
14607,United Kingdom,23-Mar-22,1,$0.5K
14828,United Kingdom,30-Mar-22,1,$0.5K
17613,United Kingdom,22-Mar-22,1,$0.5K
12500,Germany,18-Mar-22,2,$0.5K
13520,Switzerland,25-Mar-22,1,$0.5K
17238,United Kingdom,28-Mar-22,3,$0.5K
17975,United Kingdom,13-Mar-22,1,$0.5K
17873,United Kingdom,03-Mar-22,1,$0.5K
13668,United Kingdom,27-Mar-22,2,$0.5K
16700,United Kingdom,24-Mar-22,1,$0.5K
17863,United Kingdom,30-Mar-22,1,$0.5K
12682,France,14-Mar-22,1,$0.5K
15521,United Kingdom,30-Mar-22,1,$0.5K
12524,Germany,03-Mar-22,1,$0.5K
13327,United Kingdom,25-Mar-22,1,$0.5K
12955,United Kingdom,17-Mar-22,1,$0.5K
14732,United Kingdom,01-Mar-22,1,$0.5K
15005,United Kingdom,14-Mar-22,2,$0.5K
16638,United Kingdom,31-Mar-22,2,$0.5K
13552,United Kingdom,28-Mar-22,2,$0.5K
15353,United Kingdom,30-Mar-22,1,$0.5K
12647,Germany,18-Mar-22,1,$0.5K
17377,United Kingdom,29-Mar-22,2,$0.5K
12584,Italy,14-Mar-22,1,$0.5K
13593,United Kingdom,21-Mar-22,2,$0.5K
14292,United Kingdom,02-Mar-22,1,$0.5K
14854,United Kingdom,10-Mar-22,1,$0.5K
13591,United Kingdom,18-Mar-22,1,$0.5K
14709,United Kingdom,08-Mar-22,1,$0.5K
13110,United Kingdom,27-Mar-22,2,$0.5K
16814,United Kingdom,28-Mar-22,1,$0.5K
17059,United Kingdom,24-Mar-22,1,$0.5K
12823,United Kingdom,30-Mar-22,1,$0.5K
14159,United Kingdom,28-Mar-22,1,$0.5K
12564,France,23-Mar-22,1,$0.5K
17634,United Kingdom,07-Mar-22,1,$0.5K
16570,United Kingdom,14-Mar-22,1,$0.5K
16245,United Kingdom,28-Mar-22,1,$0.5K
17243,United Kingdom,27-Mar-22,2,$0.5K
14530,United Kingdom,22-Mar-22,1,$0.4K
15140,United Kingdom,20-Mar-22,1,$0.4K
15572,United Kingdom,06-Mar-22,2,$0.4K
14256,United Kingdom,30-Mar-22,1,$0.4K
12759,Netherlands,09-Mar-22,1,$0.4K
17644,United Kingdom,24-Mar-22,1,$0.4K
17512,United Kingdom,24-Mar-22,1,$0.4K
13509,United Kingdom,30-Mar-22,2,$0.4K
13493,Switzerland,09-Mar-22,1,$0.4K
13358,United Kingdom,16-Mar-22,1,$0.4K
12989,United Kingdom,18-Mar-22,1,$0.4K
16571,United Kingdom,03-Mar-22,1,$0.4K
13901,United Kingdom,28-Mar-22,1,$0.4K
16904,United Kingdom,24-Mar-22,1,$0.4K
16265,United Kingdom,24-Mar-22,1,$0.4K
14239,United Kingdom,03-Mar-22,1,$0.4K
18226,United Kingdom,29-Mar-22,1,$0.4K
13047,United Kingdom,30-Mar-22,1,$0.4K
15815,United Kingdom,25-Mar-22,1,$0.4K
13319,United Kingdom,17-Mar-22,2,$0.4K
12352,Norway,22-Mar-22,3,$0.4K
13118,United Kingdom,31-Mar-22,1,$0.4K
15644,United Kingdom,28-Mar-22,3,$0.4K
14193,United Kingdom,15-Mar-22,1,$0.4K
16040,United Kingdom,16-Mar-22,1,$0.4K
14209,United Kingdom,25-Mar-22,1,$0.4K
17220,United Kingdom,30-Mar-22,1,$0.4K
13166,United Kingdom,02-Mar-22,1,$0.4K
16449,United Kingdom,04-Mar-22,1,$0.4K
16225,United Kingdom,07-Mar-22,2,$0.4K
12782,Portugal,31-Mar-22,1,$0.4K
16455,United Kingdom,29-Mar-22,1,$0.4K
14670,United Kingdom,04-Mar-22,2,$0.4K
15906,United Kingdom,29-Mar-22,2,$0.4K
17730,United Kingdom,09-Mar-22,1,$0.4K
15106,United Kingdom,15-Mar-22,1,$0.4K
16081,United Kingdom,25-Mar-22,1,$0.4K
12417,Belgium,10-Mar-22,1,$0.4K
15695,United Kingdom,18-Mar-22,2,$0.4K
14348,United Kingdom,24-Mar-22,1,$0.4K
13139,United Kingdom,25-Mar-22,1,$0.4K
16384,United Kingdom,21-Mar-22,1,$0.4K
14388,United Kingdom,03-Mar-22,1,$0.4K
13050,United Kingdom,27-Mar-22,1,$0.4K
14422,United Kingdom,17-Mar-22,1,$0.4K
12792,Portugal,28-Mar-22,1,$0.4K
14035,United Kingdom,17-Mar-22,1,$0.4K
17865,United Kingdom,22-Mar-22,1,$0.4K
17486,United Kingdom,23-Mar-22,1,$0.4K
15241,United Kingdom,07-Mar-22,1,$0.4K
14730,United Kingdom,28-Mar-22,2,$0.4K
14057,United Kingdom,10-Mar-22,2,$0.4K
13985,United Kingdom,20-Mar-22,1,$0.4K
14527,United Kingdom,31-Mar-22,4,$0.4K
16917,United Kingdom,08-Mar-22,1,$0.4K
15045,United Kingdom,27-Mar-22,1,$0.4K
17438,United Kingdom,31-Mar-22,1,$0.4K
16128,United Kingdom,02-Mar-22,1,$0.4K
17508,Greece,04-Mar-22,1,$0.4K
16059,United Kingdom,30-Mar-22,1,$0.4K
13027,United Kingdom,16-Mar-22,1,$0.4K
15424,United Kingdom,30-Mar-22,2,$0.4K
14587,United Kingdom,25-Mar-22,2,$0.4K
15410,United Kingdom,23-Mar-22,1,$0.4K
15752,United Kingdom,07-Mar-22,1,$0.4K
16905,United Kingdom,24-Mar-22,1,$0.4K
17138,United Kingdom,09-Mar-22,1,$0.4K
16769,United Kingdom,24-Mar-22,1,$0.4K
14507,United Kingdom,08-Mar-22,2,$0.4K
13931,United Kingdom,04-Mar-22,1,$0.4K
17673,United Kingdom,18-Mar-22,1,$0.4K
14688,United Kingdom,21-Mar-22,2,$0.4K
15104,United Kingdom,02-Mar-22,1,$0.4K
12873,United Kingdom,02-Mar-22,1,$0.4K
15433,United Kingdom,17-Mar-22,1,$0.4K
13650,United Kingdom,17-Mar-22,1,$0.4K
15379,United Kingdom,09-Mar-22,1,$0.4K
15628,United Kingdom,29-Mar-22,1,$0.4K
17611,United Kingdom,13-Mar-22,1,$0.4K
16807,United Kingdom,14-Mar-22,1,$0.4K
15182,United Kingdom,16-Mar-22,1,$0.4K
15687,United Kingdom,16-Mar-22,1,$0.4K
13148,United Kingdom,23-Mar-22,1,$0.4K
17749,United Kingdom,28-Mar-22,1,$0.4K
17068,United Kingdom,20-Mar-22,2,$0.4K
14334,United Kingdom,17-Mar-22,1,$0.4K
17019,United Kingdom,23-Mar-22,1,$0.4K
15298,United Kingdom,22-Mar-22,1,$0.4K
16767,United Kingdom,24-Mar-22,1,$0.4K
16710,United Kingdom,20-Mar-22,2,$0.4K
18144,United Kingdom,15-Mar-22,1,$0.4K
14875,United Kingdom,24-Mar-22,1,$0.4K
16833,United Kingdom,25-Mar-22,2,$0.4K
18229,United Kingdom,20-Mar-22,1,$0.4K
18044,United Kingdom,29-Mar-22,2,$0.4K
16743,United Kingdom,10-Mar-22,1,$0.4K
14395,United Kingdom,14-Mar-22,1,$0.4K
14129,United Kingdom,24-Mar-22,1,$0.4K
15057,United Kingdom,09-Mar-22,1,$0.4K
13900,United Kingdom,22-Mar-22,1,$0.4K
13736,United Kingdom,24-Mar-22,1,$0.4K
14407,United Kingdom,08-Mar-22,1,$0.4K
16656,United Kingdom,18-Mar-22,1,$0.4K
12383,Belgium,14-Mar-22,1,$0.4K
14441,United Kingdom,29-Mar-22,1,$0.4K
14071,United Kingdom,24-Mar-22,2,$0.4K
15078,United Kingdom,24-Mar-22,1,$0.4K
15674,United Kingdom,30-Mar-22,1,$0.4K
16618,United Kingdom,25-Mar-22,1,$0.4K
14525,United Kingdom,31-Mar-22,1,$0.4K
16701,United Kingdom,27-Mar-22,1,$0.4K
12994,United Kingdom,21-Mar-22,1,$0.4K
14408,United Kingdom,20-Mar-22,1,$0.4K
14410,United Kingdom,31-Mar-22,2,$0.4K
13098,United Kingdom,11-Mar-22,1,$0.3K
17576,United Kingdom,22-Mar-22,2,$0.3K
16159,United Kingdom,03-Mar-22,1,$0.3K
12423,Belgium,21-Mar-22,1,$0.3K
15044,United Kingdom,22-Mar-22,1,$0.3K
16980,United Kingdom,29-Mar-22,1,$0.3K
15400,United Kingdom,06-Mar-22,1,$0.3K
15449,United Kingdom,23-Mar-22,1,$0.3K
17646,United Kingdom,14-Mar-22,1,$0.3K
17211,United Kingdom,20-Mar-22,1,$0.3K
15681,United Kingdom,04-Mar-22,1,$0.3K
14633,United Kingdom,18-Mar-22,1,$0.3K
15047,United Kingdom,15-Mar-22,1,$0.3K
13875,United Kingdom,27-Mar-22,1,$0.3K
16572,United Kingdom,09-Mar-22,1,$0.3K
15932,United Kingdom,15-Mar-22,1,$0.3K
16511,United Kingdom,18-Mar-22,1,$0.3K
17449,United Kingdom,01-Mar-22,1,$0.3K
17725,United Kingdom,17-Mar-22,1,$0.3K
13538,United Kingdom,10-Mar-22,1,$0.3K
15643,United Kingdom,02-Mar-22,1,$0.3K
16063,United Kingdom,24-Mar-22,1,$0.3K
13216,United Kingdom,17-Mar-22,1,$0.3K
17001,United Kingdom,04-Mar-22,1,$0.3K
16625,United Kingdom,10-Mar-22,1,$0.3K
13035,United Kingdom,24-Mar-22,1,$0.3K
13018,United Kingdom,21-Mar-22,1,$0.3K
14466,United Kingdom,04-Mar-22,1,$0.3K
