Customer ID,Country,Day of Latest purchase,No of Purchases, Sales
15364,United Kingdom,30-Mar-22,1,$0.3K
12957,United Kingdom,28-Mar-22,1,$0.3K
17134,United Kingdom,20-Mar-22,1,$0.3K
13576,United Kingdom,23-Mar-22,1,$0.3K
13239,United Kingdom,23-Mar-22,1,$0.3K
13652,United Kingdom,28-Mar-22,1,$0.3K
14012,United Kingdom,07-Mar-22,1,$0.3K
16426,United Kingdom,08-Mar-22,1,$0.3K
14870,United Kingdom,23-Mar-22,1,$0.3K
17685,United Kingdom,18-Mar-22,1,$0.3K
12395,Belgium,23-Mar-22,1,$0.3K
14534,United Kingdom,15-Mar-22,2,$0.3K
17591,United Kingdom,17-Mar-22,1,$0.3K
12594,Italy,28-Mar-22,2,$0.3K
15944,United Kingdom,08-Mar-22,1,$0.3K
15133,United Kingdom,27-Mar-22,1,$0.3K
14282,United Kingdom,18-Mar-22,1,$0.3K
15092,United Kingdom,01-Mar-22,1,$0.3K
16096,United Kingdom,20-Mar-22,1,$0.3K
13394,United Kingdom,17-Mar-22,1,$0.3K
16308,United Kingdom,23-Mar-22,1,$0.3K
17696,United Kingdom,07-Mar-22,1,$0.3K
12779,Poland,21-Mar-22,1,$0.3K
16293,United Kingdom,15-Mar-22,1,$0.3K
15257,United Kingdom,03-Mar-22,1,$0.3K
15648,United Kingdom,30-Mar-22,1,$0.3K
15220,United Kingdom,04-Mar-22,1,$0.3K
12726,France,20-Mar-22,1,$0.3K
17152,United Kingdom,21-Mar-22,1,$0.3K
12614,Germany,07-Mar-22,1,$0.3K
12878,United Kingdom,18-Mar-22,1,$0.3K
17594,United Kingdom,30-Mar-22,1,$0.3K
14913,United Kingdom,11-Mar-22,1,$0.3K
14377,United Kingdom,22-Mar-22,1,$0.3K
14189,United Kingdom,31-Mar-22,1,$0.3K
15132,United Kingdom,22-Mar-22,1,$0.3K
17965,United Kingdom,01-Mar-22,1,$0.3K
17519,United Kingdom,23-Mar-22,1,$0.3K
13654,United Kingdom,11-Mar-22,1,$0.3K
18183,United Kingdom,23-Mar-22,1,$0.3K
12541,Spain,04-Mar-22,1,$0.3K
12834,United Kingdom,02-Mar-22,1,$0.3K
16678,United Kingdom,06-Mar-22,1,$0.3K
14472,United Kingdom,27-Mar-22,1,$0.3K
13842,United Kingdom,11-Mar-22,1,$0.3K
16092,United Kingdom,30-Mar-22,1,$0.3K
12747,United Kingdom,01-Mar-22,1,$0.3K
17191,United Kingdom,04-Mar-22,1,$0.3K
15308,United Kingdom,14-Mar-22,1,$0.3K
16475,United Kingdom,11-Mar-22,1,$0.3K
14032,United Kingdom,09-Mar-22,1,$0.3K
16383,United Kingdom,16-Mar-22,1,$0.3K
15854,United Kingdom,18-Mar-22,1,$0.3K
18218,United Kingdom,17-Mar-22,1,$0.3K
13971,United Kingdom,17-Mar-22,1,$0.3K
16156,United Kingdom,20-Mar-22,1,$0.3K
14075,United Kingdom,23-Mar-22,1,$0.3K
14755,United Kingdom,28-Mar-22,1,$0.3K
15194,United Kingdom,07-Mar-22,1,$0.3K
13060,United Kingdom,31-Mar-22,1,$0.3K
14404,United Kingdom,25-Mar-22,1,$0.3K
13265,United Kingdom,11-Mar-22,1,$0.3K
15087,United Kingdom,03-Mar-22,1,$0.3K
15636,United Kingdom,02-Mar-22,1,$0.3K
15793,United Kingdom,16-Mar-22,1,$0.3K
16401,United Kingdom,31-Mar-22,1,$0.3K
13426,United Kingdom,30-Mar-22,1,$0.3K
17398,United Kingdom,29-Mar-22,1,$0.3K
14128,United Kingdom,29-Mar-22,1,$0.3K
12623,Germany,08-Mar-22,1,$0.3K
14223,United Kingdom,24-Mar-22,1,$0.3K
13093,United Kingdom,17-Mar-22,1,$0.3K
15129,United Kingdom,29-Mar-22,1,$0.3K
16019,United Kingdom,30-Mar-22,1,$0.3K
15596,United Kingdom,10-Mar-22,1,$0.3K
13266,United Kingdom,28-Mar-22,1,$0.3K
16297,United Kingdom,18-Mar-22,1,$0.3K
16681,United Kingdom,31-Mar-22,1,$0.3K
15971,United Kingdom,14-Mar-22,2,$0.3K
13999,United Kingdom,30-Mar-22,1,$0.3K
12662,Germany,08-Mar-22,1,$0.3K
13700,United Kingdom,13-Mar-22,1,$0.3K
13769,United Kingdom,29-Mar-22,1,$0.3K
14762,United Kingdom,21-Mar-22,1,$0.3K
15806,United Kingdom,08-Mar-22,1,$0.3K
14573,United Kingdom,27-Mar-22,2,$0.3K
14636,United Kingdom,16-Mar-22,1,$0.3K
16746,United Kingdom,17-Mar-22,1,$0.3K
15181,United Kingdom,15-Mar-22,1,$0.3K
14794,United Kingdom,31-Mar-22,2,$0.3K
13899,United Kingdom,10-Mar-22,1,$0.3K
17678,United Kingdom,21-Mar-22,1,$0.3K
12881,United Kingdom,09-Mar-22,1,$0.3K
17931,United Kingdom,29-Mar-22,1,$0.3K
14506,United Kingdom,01-Mar-22,1,$0.3K
15874,United Kingdom,28-Mar-22,2,$0.3K
16788,United Kingdom,30-Mar-22,1,$0.3K
13708,United Kingdom,13-Mar-22,1,$0.3K
15589,United Kingdom,29-Mar-22,2,$0.3K
16721,United Kingdom,22-Mar-22,1,$0.3K
15514,United Kingdom,04-Mar-22,1,$0.3K
13249,United Kingdom,23-Mar-22,1,$0.3K
13983,United Kingdom,16-Mar-22,1,$0.3K
12845,United Kingdom,17-Mar-22,3,$0.3K
15547,United Kingdom,13-Mar-22,1,$0.3K
12399,Belgium,23-Mar-22,1,$0.3K
17411,United Kingdom,23-Mar-22,1,$0.3K
16110,United Kingdom,22-Mar-22,1,$0.3K
13121,United Kingdom,15-Mar-22,1,$0.3K
13439,United Kingdom,29-Mar-22,1,$0.3K
14350,United Kingdom,14-Mar-22,1,$0.3K
12708,Germany,11-Mar-22,1,$0.3K
15381,United Kingdom,16-Mar-22,1,$0.3K
13911,United Kingdom,20-Mar-22,1,$0.3K
14504,United Kingdom,25-Mar-22,2,$0.3K
13230,United Kingdom,02-Mar-22,1,$0.3K
17921,United Kingdom,18-Mar-22,1,$0.3K
18109,United Kingdom,24-Mar-22,1,$0.3K
12528,Germany,25-Mar-22,1,$0.3K
16931,United Kingdom,27-Mar-22,1,$0.3K
13803,United Kingdom,29-Mar-22,1,$0.3K
12811,Portugal,24-Mar-22,2,$0.3K
13069,United Kingdom,24-Mar-22,1,$0.3K
12778,Netherlands,25-Mar-22,2,$0.3K
12888,United Kingdom,29-Mar-22,1,$0.3K
15750,United Kingdom,01-Mar-22,1,$0.3K
18108,United Kingdom,30-Mar-22,1,$0.3K
15144,United Kingdom,24-Mar-22,2,$0.3K
18179,United Kingdom,30-Mar-22,1,$0.3K
13821,United Kingdom,23-Mar-22,1,$0.3K
12841,United Kingdom,27-Mar-22,2,$0.3K
17817,United Kingdom,07-Mar-22,2,$0.3K
18172,United Kingdom,31-Mar-22,1,$0.3K
14727,United Kingdom,10-Mar-22,1,$0.3K
14662,United Kingdom,09-Mar-22,1,$0.3K
15408,United Kingdom,20-Mar-22,1,$0.3K
14810,United Kingdom,30-Mar-22,2,$0.3K
13720,United Kingdom,30-Mar-22,1,$0.3K
15019,United Kingdom,18-Mar-22,1,$0.3K
17146,United Kingdom,21-Mar-22,1,$0.3K
17507,United Kingdom,23-Mar-22,1,$0.3K
14447,United Kingdom,04-Mar-22,1,$0.3K
17799,United Kingdom,14-Mar-22,2,$0.3K
16419,United Kingdom,11-Mar-22,1,$0.3K
17754,United Kingdom,24-Mar-22,1,$0.3K
16983,United Kingdom,16-Mar-22,1,$0.3K
14161,United Kingdom,06-Mar-22,1,$0.3K
14713,United Kingdom,17-Mar-22,2,$0.3K
16859,United Kingdom,23-Mar-22,1,$0.3K
13021,United Kingdom,21-Mar-22,1,$0.3K
13000,United Kingdom,25-Mar-22,1,$0.3K
13491,United Kingdom,21-Mar-22,2,$0.3K
16037,United Kingdom,15-Mar-22,1,$0.3K
15426,United Kingdom,27-Mar-22,1,$0.3K
16976,United Kingdom,17-Mar-22,1,$0.3K
13512,United Kingdom,24-Mar-22,1,$0.3K
13037,United Kingdom,28-Mar-22,1,$0.3K
12868,United Kingdom,16-Mar-22,1,$0.2K
17364,United Kingdom,29-Mar-22,1,$0.2K
14825,United Kingdom,09-Mar-22,1,$0.2K
15452,United Kingdom,20-Mar-22,1,$0.2K
17231,United Kingdom,21-Mar-22,1,$0.2K
15034,United Kingdom,10-Mar-22,1,$0.2K
16495,United Kingdom,08-Mar-22,2,$0.2K
14099,United Kingdom,30-Mar-22,1,$0.2K
17954,United Kingdom,20-Mar-22,2,$0.2K
14462,United Kingdom,17-Mar-22,2,$0.2K
16657,United Kingdom,30-Mar-22,1,$0.2K
16996,United Kingdom,15-Mar-22,1,$0.2K
15953,United Kingdom,01-Mar-22,1,$0.2K
17979,United Kingdom,25-Mar-22,2,$0.2K
13557,United Kingdom,04-Mar-22,1,$0.2K
14645,United Kingdom,09-Mar-22,1,$0.2K
15068,United Kingdom,28-Mar-22,1,$0.2K
12693,Germany,24-Mar-22,1,$0.2K
17929,United Kingdom,30-Mar-22,1,$0.2K
14092,United Kingdom,15-Mar-22,1,$0.2K
14586,United Kingdom,27-Mar-22,1,$0.2K
15457,United Kingdom,22-Mar-22,1,$0.2K
12775,Netherlands,22-Mar-22,1,$0.2K
14620,United Kingdom,01-Mar-22,1,$0.2K
15984,United Kingdom,01-Mar-22,1,$0.2K
17060,United Kingdom,18-Mar-22,1,$0.2K
18231,United Kingdom,16-Mar-22,1,$0.2K
14297,United Kingdom,10-Mar-22,1,$0.2K
14352,United Kingdom,11-Mar-22,1,$0.2K
17389,United Kingdom,08-Mar-22,2,$0.2K
15528,United Kingdom,30-Mar-22,1,$0.2K
14344,United Kingdom,28-Mar-22,2,$0.2K
14659,United Kingdom,21-Mar-22,1,$0.2K
18149,United Kingdom,11-Mar-22,1,$0.2K
13662,United Kingdom,29-Mar-22,1,$0.2K
15651,United Kingdom,24-Mar-22,1,$0.2K
15611,United Kingdom,28-Mar-22,2,$0.2K
17212,United Kingdom,31-Mar-22,1,$0.2K
12407,Belgium,20-Mar-22,1,$0.2K
16619,United Kingdom,31-Mar-22,1,$0.2K
17789,United Kingdom,03-Mar-22,1,$0.2K
16728,United Kingdom,20-Mar-22,1,$0.2K
16471,United Kingdom,10-Mar-22,1,$0.2K
17227,United Kingdom,28-Mar-22,1,$0.2K
13707,United Kingdom,17-Mar-22,1,$0.2K
13382,United Kingdom,04-Mar-22,1,$0.2K
14205,United Kingdom,20-Mar-22,1,$0.2K
15053,United Kingdom,03-Mar-22,1,$0.2K
17652,United Kingdom,03-Mar-22,1,$0.2K
12924,United Kingdom,17-Mar-22,1,$0.2K
16392,United Kingdom,15-Mar-22,1,$0.2K
17314,United Kingdom,30-Mar-22,1,$0.2K
14502,United Kingdom,13-Mar-22,1,$0.2K
18168,United Kingdom,17-Mar-22,1,$0.2K
12937,United Kingdom,17-Mar-22,1,$0.2K
14570,United Kingdom,04-Mar-22,2,$0.2K
15554,United Kingdom,07-Mar-22,1,$0.2K
17733,United Kingdom,23-Mar-22,1,$0.2K
16218,United Kingdom,30-Mar-22,1,$0.2K
17861,United Kingdom,31-Mar-22,1,$0.2K
14476,United Kingdom,27-Mar-22,1,$0.2K
15867,United Kingdom,15-Mar-22,1,$0.2K
12831,United Kingdom,22-Mar-22,1,$0.2K
16477,United Kingdom,10-Mar-22,1,$0.2K
16809,United Kingdom,22-Mar-22,1,$0.2K
17162,United Kingdom,07-Mar-22,2,$0.2K
15703,United Kingdom,20-Mar-22,1,$0.2K
16242,United Kingdom,07-Mar-22,1,$0.2K
14524,United Kingdom,03-Mar-22,1,$0.2K
13946,United Kingdom,17-Mar-22,1,$0.2K
17864,United Kingdom,09-Mar-22,1,$0.2K
18191,United Kingdom,23-Mar-22,1,$0.2K
17923,United Kingdom,02-Mar-22,1,$0.2K
14851,United Kingdom,28-Mar-22,1,$0.2K
12619,Germany,31-Mar-22,1,$0.2K
12637,France,21-Mar-22,2,$0.2K
16115,United Kingdom,20-Mar-22,1,$0.2K
17071,United Kingdom,31-Mar-22,1,$0.2K
15319,United Kingdom,01-Mar-22,1,$0.2K
15456,United Kingdom,01-Mar-22,2,$0.2K
17230,United Kingdom,20-Mar-22,1,$0.2K
13240,United Kingdom,27-Mar-22,1,$0.2K
15021,United Kingdom,23-Mar-22,1,$0.2K
17515,United Kingdom,16-Mar-22,1,$0.2K
14711,United Kingdom,22-Mar-22,1,$0.2K
13262,United Kingdom,21-Mar-22,1,$0.2K
15437,United Kingdom,22-Mar-22,1,$0.2K
13880,United Kingdom,01-Mar-22,1,$0.2K
14021,United Kingdom,28-Mar-22,1,$0.2K
15669,United Kingdom,21-Mar-22,1,$0.2K
17351,United Kingdom,11-Mar-22,1,$0.2K
13918,United Kingdom,31-Mar-22,1,$0.2K
18078,United Kingdom,25-Mar-22,1,$0.2K
12676,Sweden,24-Mar-22,1,$0.2K
14878,United Kingdom,27-Mar-22,1,$0.2K
13046,United Kingdom,18-Mar-22,1,$0.2K
16713,United Kingdom,30-Mar-22,1,$0.2K
15234,United Kingdom,08-Mar-22,1,$0.2K
13884,United Kingdom,07-Mar-22,3,$0.2K
17368,United Kingdom,25-Mar-22,1,$0.2K
13497,United Kingdom,02-Mar-22,1,$0.2K
18071,United Kingdom,27-Mar-22,1,$0.2K
16943,United Kingdom,23-Mar-22,1,$0.2K
17374,United Kingdom,03-Mar-22,1,$0.2K
14114,United Kingdom,11-Mar-22,1,$0.2K
15827,United Kingdom,07-Mar-22,2,$0.2K
16036,United Kingdom,21-Mar-22,1,$0.2K
14803,United Kingdom,09-Mar-22,1,$0.2K
16782,United Kingdom,27-Mar-22,2,$0.2K
15835,United Kingdom,24-Mar-22,1,$0.2K
15624,United Kingdom,28-Mar-22,1,$0.2K
14059,United Kingdom,18-Mar-22,1,$0.2K
16768,United Kingdom,13-Mar-22,1,$0.2K
13728,United Kingdom,30-Mar-22,1,$0.2K
16217,United Kingdom,17-Mar-22,1,$0.2K
17076,United Kingdom,11-Mar-22,1,$0.2K
17940,United Kingdom,08-Mar-22,1,$0.2K
18280,United Kingdom,07-Mar-22,1,$0.2K
15033,United Kingdom,28-Mar-22,1,$0.2K
12604,France,23-Mar-22,1,$0.2K
16023,United Kingdom,18-Mar-22,1,$0.2K
16005,United Kingdom,14-Mar-22,1,$0.2K
16777,United Kingdom,27-Mar-22,1,$0.2K
13072,United Kingdom,18-Mar-22,1,$0.2K
18239,United Kingdom,24-Mar-22,1,$0.2K
15373,United Kingdom,30-Mar-22,1,$0.2K
16353,United Kingdom,14-Mar-22,1,$0.2K
16497,United Kingdom,16-Mar-22,1,$0.2K
18010,United Kingdom,28-Mar-22,1,$0.2K
17043,United Kingdom,18-Mar-22,1,$0.2K
14693,United Kingdom,20-Mar-22,1,$0.2K
14536,United Kingdom,25-Mar-22,1,$0.2K
16948,United Kingdom,23-Mar-22,1,$0.2K
17542,United Kingdom,15-Mar-22,1,$0.2K
15996,United Kingdom,21-Mar-22,1,$0.2K
18177,United Kingdom,29-Mar-22,1,$0.2K
15898,United Kingdom,20-Mar-22,1,$0.2K
16716,United Kingdom,18-Mar-22,1,$0.2K
16808,United Kingdom,10-Mar-22,1,$0.2K
12817,Austria,03-Mar-22,1,$0.2K
17535,United Kingdom,04-Mar-22,1,$0.2K
12728,France,27-Mar-22,1,$0.2K
16250,United Kingdom,23-Mar-22,1,$0.2K
17795,United Kingdom,20-Mar-22,1,$0.2K
16168,United Kingdom,15-Mar-22,1,$0.2K
16621,United Kingdom,07-Mar-22,1,$0.2K
16517,United Kingdom,07-Mar-22,1,$0.2K
17250,United Kingdom,23-Mar-22,1,$0.2K
15733,United Kingdom,02-Mar-22,1,$0.2K
16780,United Kingdom,25-Mar-22,1,$0.2K
14702,United Kingdom,03-Mar-22,1,$0.2K
12547,Spain,04-Mar-22,1,$0.2K
16136,United Kingdom,07-Mar-22,1,$0.2K
18224,United Kingdom,21-Mar-22,1,$0.2K
13499,United Kingdom,15-Mar-22,1,$0.2K
16458,United Kingdom,25-Mar-22,1,$0.2K
14312,United Kingdom,11-Mar-22,1,$0.2K
16693,United Kingdom,13-Mar-22,1,$0.2K
13305,United Kingdom,11-Mar-22,1,$0.2K
15304,United Kingdom,24-Mar-22,2,$0.2K
16374,United Kingdom,22-Mar-22,1,$0.2K
15660,United Kingdom,01-Mar-22,1,$0.2K
17698,United Kingdom,24-Mar-22,1,$0.2K
13410,United Kingdom,21-Mar-22,1,$0.2K
15030,United Kingdom,16-Mar-22,1,$0.2K
14066,United Kingdom,18-Mar-22,1,$0.2K
14790,United Kingdom,31-Mar-22,1,$0.2K
16791,United Kingdom,21-Mar-22,1,$0.2K
17849,United Kingdom,21-Mar-22,1,$0.2K
15031,United Kingdom,02-Mar-22,1,$0.2K
15869,United Kingdom,07-Mar-22,2,$0.1K
13649,United Kingdom,28-Mar-22,1,$0.1K
16221,United Kingdom,09-Mar-22,1,$0.1K
16817,United Kingdom,25-Mar-22,2,$0.1K
15974,United Kingdom,09-Mar-22,1,$0.1K
12437,France,16-Mar-22,1,$0.1K
17966,United Kingdom,23-Mar-22,1,$0.1K
13725,United Kingdom,27-Mar-22,1,$0.1K
13533,United Kingdom,17-Mar-22,2,$0.1K
13969,United Kingdom,17-Mar-22,1,$0.1K
13571,United Kingdom,31-Mar-22,1,$0.1K
14667,United Kingdom,10-Mar-22,1,$0.1K
13299,United Kingdom,16-Mar-22,1,$0.1K
18210,United Kingdom,17-Mar-22,1,$0.1K
14915,United Kingdom,07-Mar-22,1,$0.1K
15918,United Kingdom,13-Mar-22,1,$0.1K
14479,United Kingdom,31-Mar-22,1,$0.1K
13743,United Kingdom,25-Mar-22,1,$0.1K
16607,United Kingdom,29-Mar-22,1,$0.1K
14041,United Kingdom,18-Mar-22,1,$0.1K
15388,Canada,14-Mar-22,1,$0.1K
14060,United Kingdom,14-Mar-22,1,$0.1K
17460,United Kingdom,25-Mar-22,1,$0.1K
12902,United Kingdom,20-Mar-22,1,$0.1K
13716,United Kingdom,15-Mar-22,1,$0.1K
18211,United Kingdom,06-Mar-22,1,$0.1K
14127,United Kingdom,28-Mar-22,1,$0.1K
13715,United Kingdom,03-Mar-22,1,$0.1K
13636,United Kingdom,24-Mar-22,1,$0.1K
14483,United Kingdom,03-Mar-22,1,$0.1K
14247,United Kingdom,06-Mar-22,1,$0.1K
13760,United Kingdom,28-Mar-22,1,$0.1K
12913,United Kingdom,02-Mar-22,1,$0.1K
17092,United Kingdom,07-Mar-22,1,$0.1K
17096,United Kingdom,23-Mar-22,1,$0.1K
17075,United Kingdom,31-Mar-22,1,$0.1K
15709,United Kingdom,01-Mar-22,1,$0.1K
14656,United Kingdom,01-Mar-22,1,$0.1K
14272,United Kingdom,30-Mar-22,1,$0.1K
16427,United Kingdom,21-Mar-22,1,$0.1K
16359,United Kingdom,10-Mar-22,1,$0.1K
16080,United Kingdom,21-Mar-22,1,$0.1K
14217,United Kingdom,20-Mar-22,1,$0.1K
16949,United Kingdom,30-Mar-22,1,$0.1K
14962,United Kingdom,14-Mar-22,1,$0.1K
14499,United Kingdom,06-Mar-22,1,$0.1K
14890,United Kingdom,31-Mar-22,1,$0.1K
15393,United Kingdom,03-Mar-22,1,$0.1K
12600,Germany,20-Mar-22,1,$0.1K
16927,United Kingdom,08-Mar-22,1,$0.1K
13959,United Kingdom,03-Mar-22,1,$0.1K
14165,United Kingdom,09-Mar-22,1,$0.1K
16434,United Kingdom,27-Mar-22,1,$0.1K
17765,United Kingdom,28-Mar-22,1,$0.1K
15049,United Kingdom,11-Mar-22,1,$0.1K
16365,United Kingdom,31-Mar-22,1,$0.1K
13956,United Kingdom,13-Mar-22,1,$0.1K
16389,United Kingdom,01-Mar-22,1,$0.1K
17917,United Kingdom,28-Mar-22,1,$0.1K
14995,United Kingdom,04-Mar-22,1,$0.1K
16444,United Kingdom,20-Mar-22,1,$0.1K
14155,United Kingdom,18-Mar-22,1,$0.1K
16011,United Kingdom,29-Mar-22,1,$0.1K
14013,United Kingdom,09-Mar-22,1,$0.1K
14818,United Kingdom,31-Mar-22,1,$0.1K
16804,United Kingdom,14-Mar-22,1,$0.1K
17654,United Kingdom,07-Mar-22,1,$0.1K
14077,United Kingdom,10-Mar-22,1,$0.1K
14976,United Kingdom,10-Mar-22,1,$0.1K
15716,United Kingdom,27-Mar-22,1,$0.1K
12523,France,16-Mar-22,1,$0.1K
15483,United Kingdom,18-Mar-22,1,$0.1K
16957,United Kingdom,03-Mar-22,1,$0.1K
14632,United Kingdom,22-Mar-22,1,$0.1K
17705,United Kingdom,23-Mar-22,1,$0.1K
15445,United Kingdom,20-Mar-22,1,$0.1K
13588,United Kingdom,29-Mar-22,1,$0.1K
13104,United Kingdom,17-Mar-22,1,$0.1K
18270,United Kingdom,18-Mar-22,1,$0.1K
16600,United Kingdom,31-Mar-22,1,$0.1K
12601,Germany,31-Mar-22,1,$0.1K
12933,United Kingdom,01-Mar-22,1,$0.1K
14167,United Kingdom,21-Mar-22,1,$0.1K
16792,United Kingdom,02-Mar-22,2,$0.1K
13092,United Kingdom,23-Mar-22,1,$0.1K
15026,United Kingdom,07-Mar-22,1,$0.1K
17857,United Kingdom,18-Mar-22,1,$0.1K
17639,United Kingdom,08-Mar-22,1,$0.1K
14657,United Kingdom,02-Mar-22,1,$0.1K
13226,United Kingdom,11-Mar-22,1,$0.1K
14871,United Kingdom,29-Mar-22,1,$0.1K
15894,United Kingdom,31-Mar-22,1,$0.1K
14538,United Kingdom,28-Mar-22,1,$0.1K
17585,United Kingdom,21-Mar-22,1,$0.1K
17800,United Kingdom,11-Mar-22,1,$0.1K
17781,United Kingdom,31-Mar-22,1,$0.1K
16356,United Kingdom,07-Mar-22,1,$0.1K
13623,United Kingdom,17-Mar-22,1,$0.1K
18086,United Kingdom,10-Mar-22,1,$0.1K
17830,United Kingdom,23-Mar-22,1,$0.1K
13261,United Kingdom,16-Mar-22,1,$0.1K
17325,United Kingdom,04-Mar-22,1,$0.1K
13784,United Kingdom,03-Mar-22,1,$0.1K
15855,United Kingdom,21-Mar-22,1,$0.1K
16620,United Kingdom,24-Mar-22,1,$0.1K
17690,United Kingdom,20-Mar-22,1,$0.1K
12843,United Kingdom,20-Mar-22,1,$0.1K
16778,United Kingdom,10-Mar-22,1,$0.1K
15581,United Kingdom,09-Mar-22,1,$0.1K
13117,United Kingdom,07-Mar-22,1,$0.1K
15083,United Kingdom,28-Mar-22,1,$0.1K
16402,United Kingdom,20-Mar-22,1,$0.1K
14473,United Kingdom,02-Mar-22,1,$0.1K
13026,United Kingdom,09-Mar-22,1,$0.1K
12877,United Kingdom,27-Mar-22,1,$0.1K
13695,United Kingdom,25-Mar-22,1,$0.1K
17616,United Kingdom,30-Mar-22,1,$0.1K
13631,United Kingdom,17-Mar-22,1,$0.1K
16078,United Kingdom,01-Mar-22,1,$0.1K
13132,United Kingdom,23-Mar-22,1,$0.1K
13592,United Kingdom,20-Mar-22,1,$0.1K
17080,United Kingdom,16-Mar-22,1,$0.1K
13094,United Kingdom,10-Mar-22,1,$0.1K
17995,United Kingdom,03-Mar-22,1,$0.1K
17571,United Kingdom,07-Mar-22,1,$0.1K
13502,United Kingdom,10-Mar-22,1,$0.1K
13185,United Kingdom,17-Mar-22,1,$0.1K
17874,United Kingdom,29-Mar-22,1,$0.1K
17961,United Kingdom,18-Mar-22,5,$0.1K
15809,United Kingdom,28-Mar-22,1,$0.1K
14840,United Kingdom,17-Mar-22,1,$0.1K
15938,United Kingdom,20-Mar-22,1,$0.1K
12931,United Kingdom,15-Mar-22,1,$0.1K
16386,United Kingdom,31-Mar-22,1,$0.1K
14957,United Kingdom,31-Mar-22,1,$0.1K
13133,United Kingdom,11-Mar-22,1,$0.1K
17775,United Kingdom,30-Mar-22,1,$0.1K
16915,United Kingdom,01-Mar-22,1,$0.1K
18273,United Kingdom,27-Mar-22,1,$0.1K
16414,United Kingdom,04-Mar-22,1,$0.1K
15675,United Kingdom,04-Mar-22,1,$0.0K
15178,United Kingdom,24-Mar-22,1,$0.0K
14779,United Kingdom,04-Mar-22,1,$0.0K
16462,United Kingdom,01-Mar-22,1,$0.0K
13573,United Kingdom,31-Mar-22,1,$0.0K
17102,United Kingdom,23-Mar-22,1,$0.0K
17994,United Kingdom,11-Mar-22,1,$0.0K
15658,United Kingdom,23-Mar-22,1,$0.0K
15206,United Kingdom,09-Mar-22,1,$0.0K
17946,United Kingdom,25-Mar-22,1,$0.0K
17763,United Kingdom,21-Mar-22,1,$0.0K
14083,United Kingdom,11-Mar-22,1,$0.0K
17027,United Kingdom,01-Mar-22,1,$0.0K
17816,United Kingdom,15-Mar-22,1,$0.0K
18037,United Kingdom,31-Mar-22,1,$0.0K
